id,label,evidence,uni_cov,bi_cov,rougeL
65608738-b9d9-46b2-9909-9373190dd587,extrinsic,"Hà Nội là thủ đô của nước Cộng hòa xã hội chủ nghĩa Việt Nam và cũng là kinh đô của hầu hết các vương triều phong kiến Việt trước đây. Do đó, lịch sử Hà Nội gắn liền với sự thăng trầm của lịch sử Việt Nam qua các thời kỳ. Hà Nội là thành phố trực thuộc trung ương có diện tích lớn nhất cả nước từ khi tỉnh Hà Tây sáp nhập vào, đồng thời cũng là địa phương đứng thứ nhì về dân số với gần 8 triệu người (năm 2018), sau Thành phố Hồ Chí Minh. Tuy nhiên, nếu tính những người cư trú không đăng ký thì dân số thực tế của thành phố này năm 2017 là hơn 9 triệu người.",0.21296296296296297,0.05555555555555555,0.22826086919021737
7bc03a1c-bd2f-4bf4-89e7-1a36198abd05,intrinsic,"Gioan Phaolô II cũng đã lên tiếng thừa nhận vai trò của thuyết Tiến hóa, thuyết Nhật tâm, nguồn gốc thế giới theo quan điểm khoa học ngày nay, phủ nhận sự hiện hữu của một thiên đường vật chất trên các tầng mây và một địa ngục vật chất nơi con người bị thiêu đốt như trong Thánh kinh miêu tả",0.18292682926829268,0.018867924528301886,0.16216216167681194
983aa7d9-cf1d-4f71-9661-673761d8cea5,intrinsic,"Và do đó, có lẽ từ ngữ threskeuin tiếng Hy Lạp cổ đại (nghĩa là lòng thành kính quá mãnh liệt đối với chư thần) bắt nguồn từ họ. Olympias phải truyền cảm chư thần bằng sự điên cuồng và đanh đá thiêng liêng của mình, vì vậy trong những buổi lễ cúng tế thần linh, bà thường làm những trò hết sức man rợ và khủng khiếp.",0.24050632911392406,0.08737864077669903,0.2586206891981272
1ecc863b-f95b-4030-993c-17615bb4185e,no,"Đã từng có thời, Nga hào phóng với Trung Quốc đến mức cung cấp miễn phí một lượng lớn vũ khí và công nghệ quân sự giúp cho ngành công nghiệp quốc phòng nước này có được một nền tảng cực kỳ quan trọng. Giới phân tích quân sự quốc tế khẳng định, Trung Quốc đã thu được những kết quả ""khó tin"" nhờ sự trợ giúp của Nga.",0.36363636363636365,0.12371134020618557,0.3999999995463138
9824a659-965f-46b6-b03b-e2141ef43753,extrinsic,"Một trong số đó là lý thuyết tiết chế của Walter Reckless và Simon Dinitz cho rằng các áp lực xã hội có thể dẫn đến tình trạng phạm tội đang phổ biến đối với trẻ vị thành niên, những trẻ em thích ứng tốt với thất bại và đồng nhất một cách tích cực với các giá trị và tiêu chuẩn văn hóa có khả năng đề kháng tốt hơn đối với sự phạm tội. Tuy vậy, cách giải thích này có những hạn chế:",0.17475728155339806,0.051470588235294115,0.13513513465850985
e9ed163d-d394-4aa5-990c-54e5bf902dc2,no,"Tại kỳ họp toàn thể lần thứ 27 từ 30 tháng 6 đến 5 tháng 7 năm 2003, đại diện 160 quốc gia thuộc Tổ chức Giáo dục, Khoa học và Văn hóa Liên Hiệp Quốc (UNESCO) đã công nhận Vườn Quốc gia Phong Nha-Kẻ Bàng, cùng với 30 địa danh khác trên toàn thế giới, là di sản thiên nhiên thế giới. Vườn quốc gia Phong Nha-Kẻ Bàng được UNESCO công nhận là di sản thế giới vì đạt tiêu chuẩn viii ""là ví dụ nổi bật đại diện cho các giai đoạn của lịch sử Trái Đất, bao gồm bằng chứng sự sống, các tiến triển địa chất đang diễn ra đáng kể đang diễn ra trong quá trình diễn biến của các kiến tạo địa chất hay các đặc điểm địa chất và địa văn"".",0.4489795918367347,0.2080536912751678,0.3084577110844781
aa077d55-fd91-464a-a941-da146082088f,intrinsic,"Nhiều người ở Tây phương bao gồm Tướng MacArthur nghĩ rằng mở rộng chiến tranh vào Trung Quốc là cần thiết. Tuy nhiên, Truman và những nhà lãnh đạo khác không đồng ý, và MacArthur được lệnh phải cẩn trọng khi tiến tới biên giới Trung Quốc. Dần dần, MacArthur không còn quan tâm đến lệnh của Tổng thống nữa và cho rằng quân đội Bắc Triều Tiên sẽ được tiếp tế qua các căn cứ tại Trung Quốc nên các căn cứ đó phải bị dội bom. Tuy nhiên, trừ một vài dịp hiếm hoi, các máy bay ném bom Liên Hiệp Quốc vẫn cách xa tầm bay đến Mãn Châu trong suốt cuộc chiến.",0.23469387755102042,0.07801418439716312,0.21118012387639368
280067fa-9d70-4f6f-87bd-7d173ae81ed8,intrinsic,"Thậm chí, cùng nguyên liệu là nước mắm, dấm, đường, tỏi, ớt, dùng để ăn với món gì thì tỷ lệ các thành phần pha chế cũng khác nhau, như khi dùng chấm rau sống thì pha nhạt, ăn với bún chả thì thêm chua.",0.21666666666666667,0.03409090909090909,0.19148936121321863
55cf64d3-5fc5-4df7-9113-85c8c370ca41,intrinsic,"Đầu thế kỷ XVI, Đạt Diên Hãn và phu nhân là Mãn Đô Hải tái thống nhất toàn thể dân tộc Mông Cổ dưới quyền dòng hậu duệ Thành Cát Tư Hãn. Đến giữa thế kỷ XVI, A Nhĩ Thản Hãn của bộ lạc Thổ Mặc Đặc, một cháu nội của Đạt Diên Hãn – song không phải người thừa kế hoặc là hãn hợp pháp – lên nắm quyền. Ông thành lập thành phố Hohhot nay thuộc Nội Mông vào năm 1557. sau khi A Nhĩ Thản Hãn gặp Đạt Lai Lạt Ma vào năm 1578, ông ra lệnh truyền Phật giáo Tây Tạng đến Mông Cổ.",0.32978723404255317,0.14285714285714285,0.2560975605615705
35affd4a-3dca-435e-a7cd-14f12b427f2f,extrinsic,"Hiện nay, thành phố được kết nối với các vùng qua hai đường cao tốc chính–Đường cao tốc Thành phố Hồ Chí Minh - Long Thành - Dầu Giây và Đường cao tốc Thành phố Hồ Chí Minh - Trung Lương. Ngoài ra, các tuyến Quốc lộ và Xa lộ cửa ngõ cũng đã được đầu tư mở rộng đáng kể, như tuyến Đại lộ Nguyễn Văn Linh (Nam Sài Gòn), Xa lộ Hà Nội (đi Biên Hoà) và Đại lộ Đông - Tây cùng Hầm Thủ Thiêm vượt sông Sài Gòn. Thành phố cũng đầu tư nhiều cầu lớn để tăng cường giảm tải lưu lượng xe cộ ra ngoại thành, tiêu biểu là Cầu Phú Mỹ, Cầu Sài Gòn 2 và Cầu Thủ Thiêm.",0.2967032967032967,0.1276595744680851,0.26666666632722225
