id,label,support_mass,conflict_mass,gap,neutral_cov,rougeL_ctx,uni_cov_ctx
65608738-b9d9-46b2-9909-9373190dd587,extrinsic,0.5332967638969421,0.00016747084737289697,0.5331292930495692,0.7953000664710999,0.22826086919021737,0.21296296296296297
7bc03a1c-bd2f-4bf4-89e7-1a36198abd05,intrinsic,0.0010661915875971317,0.0007517655030824244,0.0003144260845147073,0.9981820583343506,0.16216216167681194,0.18292682926829268
983aa7d9-cf1d-4f71-9661-673761d8cea5,intrinsic,0.10940095782279968,0.0003235257463529706,0.10907743207644671,0.8902755379676819,0.2586206891981272,0.24050632911392406
1ecc863b-f95b-4030-993c-17615bb4185e,no,0.9988365173339844,0.00010555277549428865,0.9987309645584901,0.0010578539222478867,0.3999999995463138,0.36363636363636365
9824a659-965f-46b6-b03b-e2141ef43753,extrinsic,0.09219339489936829,0.0003483641776256263,0.09184503072174266,0.9074583053588867,0.13513513465850985,0.17475728155339806
e9ed163d-d394-4aa5-990c-54e5bf902dc2,no,0.9986006021499634,0.0010470731649547815,0.9975535289850086,0.00035237433621659875,0.3084577110844781,0.4489795918367347
aa077d55-fd91-464a-a941-da146082088f,intrinsic,0.0023831964936107397,0.0012382203713059425,0.0011449761223047972,0.9983019828796387,0.21118012387639368,0.23469387755102042
280067fa-9d70-4f6f-87bd-7d173ae81ed8,intrinsic,0.002246077172458172,0.00020880316151306033,0.0020372740109451115,0.997545063495636,0.19148936121321863,0.21666666666666667
55cf64d3-5fc5-4df7-9113-85c8c370ca41,intrinsic,0.039030253887176514,0.5062171816825867,-0.46718692779541016,0.7872083187103271,0.2560975605615705,0.32978723404255317
35affd4a-3dca-435e-a7cd-14f12b427f2f,extrinsic,0.34057435393333435,0.3323783576488495,0.008195996284484863,0.32704728841781616,0.26666666632722225,0.2967032967032967
5dac2d75-279d-4d80-82b8-94537bac1679,extrinsic,0.3381403684616089,0.000207818768103607,0.3379325496935053,0.6616517901420593,0.18681318644094919,0.21875
8747f6ba-84d8-4abc-b3cf-da39d730c3e5,extrinsic,0.5308310985565186,0.0010147802531719208,0.5298163183033466,0.4681541323661804,0.29729729679729733,0.2708333333333333
50e302c3-28b6-4c06-a7b7-5ee6914905e6,no,0.9991487860679626,0.0001310405059484765,0.9990177455620142,0.0009221471264027059,0.28048780442088045,0.3157894736842105
b1471858-da4d-42d6-bdd5-cdce60a9d0ee,extrinsic,0.0022179801017045975,0.00046827615005895495,0.0017497039516456425,0.9973137378692627,0.1923076918076923,0.1780821917808219
